epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.16,1.459,3.36689,0.03074,0.79553,0.71768,0.80793,0.32094,2.05849,1.35004,0.07258,0.000661616,0.000661616,0.000661616
2,266.196,1.73798,1.19121,0.03582,0.83991,0.81553,0.88698,0.33737,2.11925,1.33338,0.07749,0.00131513,0.00131513,0.00131513
3,331.857,1.79674,1.07025,0.0387,0.66798,0.8479,0.78357,0.35636,1.76343,1.17493,0.05681,0.00195545,0.00195545,0.00195545
4,396.435,1.80943,0.98795,0.03896,0.75819,0.83208,0.83483,0.29637,2.1389,1.32225,0.07248,0.0019406,0.0019406,0.0019406
5,460.806,1.68401,0.90134,0.03466,0.76498,0.82201,0.8426,0.28871,2.28649,1.13417,0.08143,0.0019208,0.0019208,0.0019208
6,525.342,1.65608,0.85543,0.03406,0.78045,0.76699,0.75271,0.17688,2.88078,0.9734,0.11057,0.001901,0.001901,0.001901
7,590.669,1.59835,0.83769,0.03204,0.94628,0.96907,0.98991,0.50691,1.6516,0.48259,0.05311,0.0018812,0.0018812,0.0018812
8,655.418,1.6042,0.76795,0.0336,0.88796,0.92557,0.94931,0.45631,1.88702,0.61877,0.06504,0.0018614,0.0018614,0.0018614
9,719.243,1.55831,0.70235,0.03293,0.9666,0.9365,0.98679,0.5317,1.65436,0.57179,0.05286,0.0018416,0.0018416,0.0018416
10,783.523,1.5341,0.6865,0.0311,0.97179,0.93851,0.98284,0.65478,1.1958,0.38241,0.0352,0.0018218,0.0018218,0.0018218
11,847.971,1.47433,0.70189,0.02894,0.97391,0.96655,0.99295,0.63752,1.31685,0.3943,0.04055,0.001802,0.001802,0.001802
12,912.207,1.43184,0.64366,0.02847,0.96464,0.94175,0.98991,0.64532,1.28201,0.38861,0.03881,0.0017822,0.0017822,0.0017822
13,976.839,1.37763,0.61944,0.02801,0.97386,0.96438,0.98887,0.48759,1.83694,0.46411,0.06409,0.0017624,0.0017624,0.0017624
14,1041,1.46882,0.6515,0.02926,0.9613,0.96478,0.99149,0.67198,1.21232,0.37284,0.03658,0.0017426,0.0017426,0.0017426
15,1105.38,1.36887,0.63849,0.02754,0.97067,0.97735,0.99315,0.61702,1.37376,0.37067,0.04447,0.0017228,0.0017228,0.0017228
16,1169.27,1.35996,0.6028,0.02681,0.97413,0.97491,0.9893,0.59385,1.41544,0.37268,0.04296,0.001703,0.001703,0.001703
17,1233.82,1.30989,0.59279,0.02574,0.9681,0.98218,0.99089,0.59888,1.43,0.37971,0.04652,0.0016832,0.0016832,0.0016832
18,1298.97,1.30776,0.59194,0.02629,0.96195,0.96117,0.99082,0.68054,1.15028,0.33519,0.03472,0.0016634,0.0016634,0.0016634
19,1363.28,1.28644,0.5895,0.02449,0.97754,0.98584,0.99445,0.69952,1.07516,0.32394,0.03162,0.0016436,0.0016436,0.0016436
20,1429.2,1.31605,0.57585,0.02618,0.98047,0.97503,0.99407,0.71026,1.07154,0.31561,0.0316,0.0016238,0.0016238,0.0016238
21,1493.33,1.32404,0.58052,0.02539,0.99054,0.97735,0.99427,0.59194,1.46996,0.38507,0.04503,0.001604,0.001604,0.001604
22,1558.65,1.2875,0.53631,0.02599,0.98009,0.95564,0.99179,0.66175,1.23056,0.35953,0.03913,0.0015842,0.0015842,0.0015842
23,1622.24,1.24838,0.5322,0.02389,0.98687,1,0.99481,0.72255,1.04753,0.26607,0.03155,0.0015644,0.0015644,0.0015644
24,1685.64,1.22471,0.54082,0.02368,0.98625,0.92855,0.98966,0.71412,1.03411,0.33584,0.03027,0.0015446,0.0015446,0.0015446
25,1748.85,1.19483,0.50368,0.02305,0.97542,0.97735,0.99247,0.66315,1.21157,0.3331,0.03626,0.0015248,0.0015248,0.0015248
26,1812.78,1.19638,0.51388,0.02325,0.97687,0.98058,0.9939,0.69566,1.12233,0.32519,0.0333,0.001505,0.001505,0.001505
27,1877.6,1.22754,0.53399,0.02403,0.984,0.99499,0.99421,0.66163,1.28092,0.33217,0.04113,0.0014852,0.0014852,0.0014852
28,1941.22,1.21521,0.52447,0.02271,0.99346,0.98259,0.99464,0.70064,1.12412,0.27886,0.03236,0.0014654,0.0014654,0.0014654
29,2004.56,1.17897,0.51957,0.02351,0.98957,0.98382,0.99416,0.7351,0.95735,0.2668,0.02766,0.0014456,0.0014456,0.0014456
30,2068.01,1.18923,0.48385,0.02226,0.983,0.98706,0.99402,0.63505,1.30881,0.33476,0.04005,0.0014258,0.0014258,0.0014258
31,2132.66,1.16677,0.4833,0.02226,0.99027,0.98839,0.99484,0.69762,1.13056,0.27463,0.03575,0.001406,0.001406,0.001406
32,2197.36,1.17813,0.47998,0.02196,0.99673,0.98575,0.99481,0.68847,1.11908,0.28036,0.03439,0.0013862,0.0013862,0.0013862
33,2261.69,1.15742,0.46243,0.02239,0.99348,0.98631,0.99484,0.71145,1.11371,0.28106,0.03479,0.0013664,0.0013664,0.0013664
34,2325.31,1.14542,0.46489,0.02153,0.97817,0.99029,0.99445,0.7655,0.86292,0.24255,0.02441,0.0013466,0.0013466,0.0013466
35,2389.94,1.14272,0.46595,0.0215,0.99349,0.9871,0.99477,0.73849,0.98409,0.26181,0.02931,0.0013268,0.0013268,0.0013268
36,2454.5,1.12501,0.49799,0.02095,0.99327,0.99676,0.99477,0.75092,0.93226,0.23591,0.02687,0.001307,0.001307,0.001307
37,2518.43,1.10298,0.47821,0.02053,0.99673,0.98621,0.9949,0.73185,1.00815,0.26363,0.02947,0.0012872,0.0012872,0.0012872
38,2582.19,1.10619,0.45182,0.02181,0.96855,0.99656,0.99429,0.75477,0.91405,0.25404,0.02699,0.0012674,0.0012674,0.0012674
39,2647.11,1.11444,0.46314,0.02079,0.98402,0.99656,0.99471,0.74633,0.9528,0.26849,0.02748,0.0012476,0.0012476,0.0012476
40,2712.16,1.09763,0.45007,0.02096,0.99673,0.9866,0.99477,0.75296,0.92764,0.24365,0.02734,0.0012278,0.0012278,0.0012278
41,2775.89,1.09262,0.45176,0.02064,0.99348,0.98627,0.9948,0.71421,1.07491,0.26754,0.03093,0.001208,0.001208,0.001208
42,2840.04,1.07034,0.42386,0.01969,0.99532,0.99353,0.9949,0.75919,0.88727,0.22857,0.02495,0.0011882,0.0011882,0.0011882
43,2904.75,1.07743,0.42259,0.02055,0.97474,0.99353,0.99408,0.74039,0.9598,0.25622,0.02661,0.0011684,0.0011684,0.0011684
44,2968.96,1.07262,0.42332,0.01946,0.99354,0.99618,0.99461,0.77204,0.87132,0.22808,0.02426,0.0011486,0.0011486,0.0011486
45,3032.83,1.08985,0.42688,0.02048,0.993,0.99353,0.99494,0.71142,1.08013,0.27122,0.03224,0.0011288,0.0011288,0.0011288
46,3096.62,1.05811,0.40948,0.02007,0.99354,0.99586,0.99497,0.79334,0.77725,0.20881,0.02161,0.001109,0.001109,0.001109
47,3161.85,1.01478,0.40474,0.01839,0.98921,1,0.99487,0.74549,0.96163,0.24287,0.028,0.0010892,0.0010892,0.0010892
48,3226.07,1.04617,0.43435,0.02003,0.99037,0.99854,0.99494,0.76857,0.85903,0.22454,0.02504,0.0010694,0.0010694,0.0010694
49,3290.06,1.04106,0.40839,0.01883,0.99514,0.99029,0.9948,0.7807,0.85161,0.22711,0.02468,0.0010496,0.0010496,0.0010496
50,3353.66,1.0284,0.43772,0.019,0.99349,0.98755,0.9949,0.75913,0.90482,0.24125,0.02655,0.0010298,0.0010298,0.0010298
51,3417.65,1.0155,0.40874,0.01858,0.98373,0.99353,0.99477,0.80492,0.74491,0.21304,0.02103,0.00101,0.00101,0.00101
52,3482.33,1.06523,0.42104,0.02065,0.98407,0.9993,0.99452,0.79682,0.78504,0.21458,0.0218,0.0009902,0.0009902,0.0009902
53,3546.41,0.99308,0.41733,0.01777,0.98998,0.99676,0.99494,0.79465,0.78949,0.2121,0.02139,0.0009704,0.0009704,0.0009704
54,3609.98,1.00222,0.3865,0.01843,0.99682,0.98382,0.9949,0.76602,0.85477,0.23552,0.02537,0.0009506,0.0009506,0.0009506
55,3673.52,0.99301,0.3923,0.01829,0.99673,0.99353,0.9949,0.77087,0.823,0.22119,0.02302,0.0009308,0.0009308,0.0009308
56,3738.03,1.02375,0.40197,0.01937,0.98404,0.99737,0.99477,0.7488,0.9322,0.24731,0.02654,0.000911,0.000911,0.000911
57,3803.24,0.99571,0.4042,0.01849,0.99676,0.99675,0.995,0.79639,0.76813,0.19951,0.0213,0.0008912,0.0008912,0.0008912
58,3867.44,0.99321,0.403,0.01803,0.99035,0.99608,0.99484,0.75898,0.88413,0.23271,0.02578,0.0008714,0.0008714,0.0008714
